id,question,answer
485,What was the name of the English band that joined Fairyland in 2015?,Radiohead
486,In what state is the Frobel-Knight-Borders House located?,Georgia
487,What are the top movie movies of the year in Iran?,Shylock
488,What was the name of the 2015 film that was nominated for Best Picture?,Boiling Pot
489,Who was the youngest son of Duke Albert IV of Saxe-Bergedorf?,Eric III of Saxe-Bergedorf
490,What is the parent airline company of United Airlines?,United Airlines
491,Which actor is known for hosting a documentary on The International House?,Sam Waterston
492,What is the name of the species found in the sea?,Spiny sand seastar
493,When was Melkite Greek Catholic Archeparchy of Homs established?,"March 4, 1849"
494,How many communes does the arrondissement of Saint-Laurent-du-Maroni have?,8
495,What type of cover are the Eunicidae and Limulidae covered with?,mossy or lichenous
496,When was the Russian Trading System established?,1995
497,What other name is the Conus buxeus widely known as?,fig cone
498,What was the Dutch name for New York?,Nieuw Utrecht
499,When was the latitude and longitude coordinates for Montgomery County published?,"February 26, 2021"
500,What was the name of Nine Inch Nails' 1992 single?,Broken
501,Who introduced the design for Coke bottle styling?,Raymond Loewy
502,What department listed Valga as a former Soviet air base?,Department of Defense
503,Where is the eastern digger bee found?,Central America and North America
504,Who is the main character of the story?,Mercury
505,Who described Glenea interrupta?,James Thomson
506,What is the oldest building in the city?,The Benjamin Wiley House
507,What county was Limerick Senior Hurling Championship established in?,Limerick
508,What is the name of the American educational television show that Janet Ivey and her friends are guests on?,The Janet's Planet
509,Who was the architect of The Episcopal Palace?,Hans Gieng
510,What type of beetle infects pine trees?,sawyer beetles
511,What are the rocks called that are at the end of the the road called?,Neufchatz
512,Which department did Professor Qaisuddin or Kayes Uddin teach at the Islamic University?,Biochemistry
513,What science is structural complexity a part of?,mathematical description of the morphological complexity
514,When was the species Trigonopterus dua found?,2014
515,What was the name of the group that released Basil Rathbone?,Masami Kobushi
516,How many seats are in the French legislature?,576
517,What is the smelting of metallic iron in the McMurdo Dry Valleys?,"resulted in the formation of Alberta's major mineral, lignite"
518,In what county is Piccotts End located?,Hertfordshire
519,What is the population of Fattepur?,"8,890 persons"
520,Who fired Charles Follen for his statements?,Harvard
521,Who is the founder of SITEX?,Wes and Jon Sights
522,When was the rural municipality of Saskatchewan first incorporated?,"December 22, 1883"
523,Who was the main event protester for the WEC 16: Clash of the Titans 2?,Ron Waterman
524,Who was the director of the Lying Lips film?,Oscar Micheaux
525,Who is the leader of Dynamic Design Solutions?,Jonathan Ive
526,What is the name of the newspaper that was started in Sheboygan?,The Sheboygan Press
527,What is the name of the large illustrated book that was published in Uppsala in 1719?,Monumenta ullerakeriensia
528,Who wrote and directed the movie Kal: Yesterday and Tomorrow?,Ruchi Narain
529,How many premierships did Brogan win with the Melbourne Football Club between 1929 and 1932?, premiership
530,When was the Mur-sur-Allier established?,1 January 2019
531,Who was the physicist to independently report that detonation conditions were needed for a nucleus to produce a fission?,Robert Oppenheimer and William Brennan
532,What was Edward Togo Salmon also known as?,E. T. Salmon
533,Who was elected to Mayor of Honolulu in the 2012 election?,Kirk Caldwell
534,"What is the name of the Japanese garden in Saratoga, California?",Hakone Gardens
535,What country is Curaçao a constituent country of?,the Kingdom of the Netherlands
536,What type of ambush was the khukduklestes closely related to?,carnivorous
537,What Mont Blanc mountain is named after?,James Eccles
538,What was the occupation of Henry Moule?,priest
539,When did Luigi reach the peak of his mountain rise?,1931
540,How many mammals live in Andorra?,17
541,Where is Brézilhac located?,the eastern coast of the Iberian Peninsula
542,The lycaenid is known as what?,blue butterfly
543,What was the position of the Naval Assistant to the First Sea Lord?,senior appointment  of the Royal Navy established in 1905
544,Where was the epicenter of the earthquake?,Wuhan
545,What does the India women's volleyball team represent?,India
546,"Who first formally described the peal pied falcon as ""Peale's falcon?""",Robert Ridgway
547,Where is Cincinnati's Airport located?,Mount Airy
548,When was the new cemetery built?,1854
549,What law is used to regulate the punishment for rape in Saudi Arabia?,Islamic law
550,What was the name of the first store Hay established?,Carmi
551,When was the Prince Philip Designers Prize founded?,1959
552,What was the name of Lord Proprietor of Scilly in 1923?,Harold Evans-Smith
553,Who wrote the Nigerian version of The White Handkerchief?,Tunde Kelani
554,What position did Frank Robinson play in?,linebacker
555,How many academic departments are present at the University of Maryland?,14
556,What is the name of the official debut album by nerdcore rapper MC Frontalot?,Nerdcore Rising
557,What is the largest bridge in Germany made entirely of reinforced concrete?,The Kyll Viaduct
558,What is the name of the server that was removed from Apple's Worldwide Developers Conference?,iCal Server
559,Sounds Like Chicken was one of the bands from what city?,Melbourne
560,How many seasons was the Nippon Professional Baseball team in operation?,30th
561,Where is the Cielito Lindo Airstrip located?,"South of San Quintín, Municipality of Ensenada"
562,How many games did Gidley play in the Super League?,123
563,What is the population density of Unity Township?,"2,339 people per square mile"
564,When was the Tiananmen Square protests?,1989
565,"Who is an Indian stand-up comedian, singer, yoga instructor, musician, and actor?",Alexander Babu Arulanthu
566,When was the city founded?,711
567,What is the name of the song that T-Pain performed on?,"""Move That Body"""
568,What minute location is Contré located on?,the eastern coast of the island of Corsica
569,What is the name of the island that is part of Bermuda?,Nonsuch Island
570,What is Sam Jones?,American gasser drag racer
571,When was the Secret Intelligence Branch established?,1942
572,Who is the current Assistant Secretary of State for Education?,Marie Royce
573,What is the name of the Armenian newspaper that is based in Yerevan?,Armenian Times
574,Who wrote and directed 'Enquiry'?,U. V. Ravindranath
575,When did Mohamad Nor Bin Ismail start his career?,20 August 1982
576,Where is the Baker Way located?,English county of Cheshire
577,What is the largest species of evergreens?,Paetrobius
578,How many students regularly attend classes in the Tipton Community School District?,834
579,When was the Everyday Robots released?,3 March 2014
580,How many albums does the Plan B album contain?,12
581,What was Albert's first name?,Edward Oxford
582,What is the name of the district that serves the entirety of the south-west of Pennsylvania?,The Conneaut School District
583,What does the article describe?,the party affiliations of leaders of each member-state represented in the European Council during the year 2012
584,Where is the Katy Hermann Hospital located?,"Harris County, Texas"
585,Who is an independent Canadian filmmaker?,Ileana Pietrobruno
586,What is the systematic name of EC 1.10.2.1 enzyme?,L-ascorbate—cytochrome-b5 reductase
587,What type of railway is a portage railway?,short and possibly isolated section of railway used to bypass  section of unnavigable river or between two water bodies which are not directly connected
588,How many teams played in the 2011 Malaysia Cup?,16
589,"What artist performed the song ""Nardis""?",Miles Davis
590,When was the Elefant Records label founded?,1987
591,What is the name of the local bus station?,Crovie
592,Where did he study at the Academy of Fine Arts?,Rome
593,Who wrote The Secret Life?,Con Coughlin
594,How are deaths reported for April 2006?,alphabetically by surname
595,"What was the name of the professional indoor football team based in Mobile, Alabama?",The Mobile Bay Tarpons
596,What does the Bamberg-Scheßlitz line refer to?,the Schääzer Bockerla
597,Where is the station of Edolo located?,on the Brescia-Iseo-Edolo railway
598,What is the name of the private airport in Frazier Lake?,Frazier Lake Airpark
599,When was the Roman Catholic Diocese of Palmares created?,1830
600,How many inhabitants were there in Termunten in 2001?,201
601,Which Basketball club did Tamás Mocsai play for?,MKB Veszprém KC
